Nova-based SHA512 compression function iterations
=========================================================
Producing public parameters...
PublicParams::setup, took 5.496126208s 
Number of constraints per step (primary circuit): 78415
Number of constraints per step (secondary circuit): 10347
Number of variables per step (primary circuit): 78331
Number of variables per step (secondary circuit): 10329
Generating a RecursiveSNARK...
RecursiveSNARK::prove_step 0: true, took 875ns 
RecursiveSNARK::prove_step 1: true, took 132.123833ms 
RecursiveSNARK::prove_step 2: true, took 155.929083ms 
RecursiveSNARK::prove_step 3: true, took 160.354958ms 
RecursiveSNARK::prove_step 4: true, took 165.37825ms 
RecursiveSNARK::prove_step 5: true, took 169.029834ms 
RecursiveSNARK::prove_step 6: true, took 172.27875ms 
RecursiveSNARK::prove_step 7: true, took 174.409375ms 
RecursiveSNARK::prove_step 8: true, took 178.759291ms 
RecursiveSNARK::prove_step 9: true, took 178.205667ms 
RecursiveSNARK::prove_step 10: true, took 178.52775ms 
RecursiveSNARK::prove_step 11: true, took 177.551ms 
RecursiveSNARK::prove_step 12: true, took 176.957458ms 
RecursiveSNARK::prove_step 13: true, took 181.68525ms 
RecursiveSNARK::prove_step 14: true, took 181.801666ms 
RecursiveSNARK::prove_step 15: true, took 181.338ms 
RecursiveSNARK::prove_step 16: true, took 179.936333ms 
RecursiveSNARK::prove_step 17: true, took 176.446375ms 
RecursiveSNARK::prove_step 18: true, took 183.397667ms 
RecursiveSNARK::prove_step 19: true, took 181.385541ms 
RecursiveSNARK::prove_step 20: true, took 182.176042ms 
RecursiveSNARK::prove_step 21: true, took 182.768833ms 
RecursiveSNARK::prove_step 22: true, took 181.722792ms 
RecursiveSNARK::prove_step 23: true, took 181.940667ms 
RecursiveSNARK::prove_step 24: true, took 181.515083ms 
RecursiveSNARK::prove_step 25: true, took 180.550541ms 
RecursiveSNARK::prove_step 26: true, took 181.973083ms 
RecursiveSNARK::prove_step 27: true, took 182.893958ms 
RecursiveSNARK::prove_step 28: true, took 183.311ms 
RecursiveSNARK::prove_step 29: true, took 181.698959ms 
RecursiveSNARK::prove_step 30: true, took 180.981167ms 
RecursiveSNARK::prove_step 31: true, took 183.947417ms 
RecursiveSNARK::prove_step 32: true, took 181.46325ms 
RecursiveSNARK::prove_step 33: true, took 180.480833ms 
RecursiveSNARK::prove_step 34: true, took 181.272584ms 
RecursiveSNARK::prove_step 35: true, took 184.53325ms 
RecursiveSNARK::prove_step 36: true, took 180.682625ms 
RecursiveSNARK::prove_step 37: true, took 182.561666ms 
RecursiveSNARK::prove_step 38: true, took 182.896416ms 
RecursiveSNARK::prove_step 39: true, took 181.8325ms 
RecursiveSNARK::prove_step 40: true, took 178.711958ms 
RecursiveSNARK::prove_step 41: true, took 184.1945ms 
RecursiveSNARK::prove_step 42: true, took 181.3975ms 
RecursiveSNARK::prove_step 43: true, took 182.039083ms 
RecursiveSNARK::prove_step 44: true, took 182.540209ms 
