Nova-based SHA512 compression function iterations
=========================================================
Producing public parameters...
PublicParams::setup, took 5.451450625s 
Number of constraints per step (primary circuit): 78415
Number of constraints per step (secondary circuit): 10347
Number of variables per step (primary circuit): 78331
Number of variables per step (secondary circuit): 10329
Generating a RecursiveSNARK...
RecursiveSNARK::prove_step 0: true, took 500ns 
RecursiveSNARK::prove_step 1: true, took 131.539167ms 
RecursiveSNARK::prove_step 2: true, took 156.672833ms 
RecursiveSNARK::prove_step 3: true, took 166.115166ms 
RecursiveSNARK::prove_step 4: true, took 240.704792ms 
RecursiveSNARK::prove_step 5: true, took 187.038583ms 
RecursiveSNARK::prove_step 6: true, took 213.812625ms 
RecursiveSNARK::prove_step 7: true, took 202.149667ms 
RecursiveSNARK::prove_step 8: true, took 201.739083ms 
RecursiveSNARK::prove_step 9: true, took 188.223875ms 
RecursiveSNARK::prove_step 10: true, took 182.606459ms 
RecursiveSNARK::prove_step 11: true, took 268.659666ms 
RecursiveSNARK::prove_step 12: true, took 468.591584ms 
RecursiveSNARK::prove_step 13: true, took 280.555459ms 
RecursiveSNARK::prove_step 14: true, took 196.721792ms 
RecursiveSNARK::prove_step 15: true, took 184.901792ms 
RecursiveSNARK::prove_step 16: true, took 187.684625ms 
RecursiveSNARK::prove_step 17: true, took 195.797542ms 
RecursiveSNARK::prove_step 18: true, took 185.75725ms 
RecursiveSNARK::prove_step 19: true, took 181.935541ms 
RecursiveSNARK::prove_step 20: true, took 183.334958ms 
RecursiveSNARK::prove_step 21: true, took 184.887292ms 
RecursiveSNARK::prove_step 22: true, took 184.550458ms 
RecursiveSNARK::prove_step 23: true, took 186.313958ms 
RecursiveSNARK::prove_step 24: true, took 199.361833ms 
RecursiveSNARK::prove_step 25: true, took 187.792459ms 
RecursiveSNARK::prove_step 26: true, took 184.603375ms 
RecursiveSNARK::prove_step 27: true, took 180.336333ms 
RecursiveSNARK::prove_step 28: true, took 181.552958ms 
RecursiveSNARK::prove_step 29: true, took 186.539291ms 
RecursiveSNARK::prove_step 30: true, took 253.245708ms 
RecursiveSNARK::prove_step 31: true, took 206.694667ms 
RecursiveSNARK::prove_step 32: true, took 213.424583ms 
RecursiveSNARK::prove_step 33: true, took 208.009417ms 
RecursiveSNARK::prove_step 34: true, took 184.3485ms 
RecursiveSNARK::prove_step 35: true, took 237.496ms 
RecursiveSNARK::prove_step 36: true, took 349.343ms 
RecursiveSNARK::prove_step 37: true, took 219.924417ms 
RecursiveSNARK::prove_step 38: true, took 237.909208ms 
RecursiveSNARK::prove_step 39: true, took 296.8385ms 
RecursiveSNARK::prove_step 40: true, took 274.388125ms 
RecursiveSNARK::prove_step 41: true, took 267.83875ms 
RecursiveSNARK::prove_step 42: true, took 336.097417ms 
RecursiveSNARK::prove_step 43: true, took 298.55775ms 
RecursiveSNARK::prove_step 44: true, took 284.851333ms 
